en_review	sentiment
A steamy soap opera unfolding against the backdrop of a cautionary history lesson reminding us that in Nigeria, the more things change, the more they stay insane.	positive
An enormous amount of work and scrutiny went into making this. Such an enormous amount, its quality stands out easily and brazenly. The sheer amount of authenticity is simply breathtaking.	positive
My Village People is a movie that will have you losing your home training while watching it. But it is a pathfinder of sorts. Nollywood generally has not done a good job of making the supernatural sexy and appealing. My Village People achieves it effortlessly, and deserves copious amount of praise.	positive
The story is nothing we haven't seen before but its told from a Nigerian perspective, its funny, quirky and the dialogue is great when compared with others available in the Nigerian market.. . . . I totally enjoyed the movie, would definitely recommend (to my Naija folks!).	positive
1980's, drug mules, beautiful black women ... I'm in heaven	positive
Realistic but slow pacing and very melodramatic.. . . . Good acting, based on true events and a decent story. The pacing was a little too slow for my liking and some scenes feel like a made-for-tv movie (the cheese music and the over dramatization).. . . . Overall watchable if you know what you are getting into ahead of time.	positive
Correction.. . . . Thanks for this. I am impressed with it. But I Nelson Orah played the character of Ahmed, not Umar. I will appreciate it if it is corrected.	positive
She is' Super Fantastic! You want to see this movie. This movie is extraordinarily enjoyable. Pure Nollywood sweetness.	positive
I was thrilled after watching the movie, everything was on point. I was particularly impressed with the quality of the cast and crew. The director, Kemi Adetiba did a great job and I'm so proud of her. I have recommended it to so many people. I look forward to watching more of her work.	positive
Genevieve Nnaji stamps her foot concretely in the pantheon of genuis directors. She doesn't disappoint in her debut, Lion Heart. It's a must watch, as it announces the birth of an international Nollywood.	positive
Nollywood at its peak!!!!. . . . This movie tells a story about culture, unity and family. So many themes that I can't finish mentioning.	positive
A Good and Wise film. It was a good film, that shows the dangers of Nigerian tribalism and how it can affect a young love.	positive
this movie is a good offering in the genre.	positive
Loved this Movie. . . . I was really surprised to read negative reviews for this movie. Do we truly know what a good movie is? This movie was really good, very enjoyable. Well developed characters, believable and relatable story line. And the quality, fantastic. Well done guys. Loved it even more than wedding party 1 and 2. I am not disappointed at all.	positive
Saw the Premieré in Houston Texas. . . . This movie should win an Oscar Award. The Storyline is so good. The Actors weré all incredible.	positive
Anyone who loves art, Who's seen part one will know the plot and storyline was already built dEré and this was a follow up.	positive
Great outcome.	positive
Expository Movie. . . . This is a very good and distinct movie. Some people might not like it perhaps because they are used to the love or thriller story films or perhaps because they are not used to life with a vehicle. They movie truly shows how things really are in the life of mechanics, apprentices and customers. It also teachers parents and children a good lesson. It is a seemingly perfect expository movie.	positive
Understated, powerful crime drama with historical flavor. . This was a very character rich film. Not a single scene was wasted.	positive
Great continuity throughout the movie... The writer and director is highly intelligent and creative. Thank you so much for this amazing movie	positive
I enjoyed seeing very good parts of Lagos, both on the mainland and the island, used, unlike other movies that stay in one location. Lagos is a beautiful place to shoot a movie, especially if the diversity of the state is put to use, as seen here. Accident scenes are usually tricky for Nollywood to portray, but it was a pleasant surprise to see a very believable one here.	positive
Citation the movie. . Perfect Movie. Loved every second of the movie. Wished it didn't end	positive
