ig_review	sentiment
Ihe nkiri megidere ihe mụta na-echetara anyị na na Naịjịrịa, ka ihe na-agbanwe ka ọ na-akawanye njọọ	positive
E tinyere ọtụtụ ọrụ na nyocha n’imepụta ihe nkiri a. Ọ bụ ya mere ka ọrụ a gbaa iche. Ọrụ ya na-adọrọ mmasị	positive
My Village People bụ ihe nkiri ga-eme ka I chefuo ọzụzụ e neyere gị n’ụlọ ma I na-elere ya. Mana ọ bụ ihe nkiri nchọpụta ụzọ. Nollywood enwebeghi oke ihe ha mere n’imepụta ihe omimi na-adọrọ mmasị ma dị mma ile anya. Mana My Village People mere nke a n’enweghi nsogbu ọbụla. O tozuru ị nata ọtụtụ otito	positive
O nweghi ihe ọhụrụ dị n’akụkọ a, mana a kọrọ ya site n’ilegara ya anya n’akụkụ Naịjịrịa. Ọ na-atọ ọchị, ọ bụghị ihe ana ahụ kwadaa, mkparịtaụka ya dị mma ma atunyere ya na ihe nkiri ndị ọzọ si ahịa Naijiria. Ahụrụ m ya bụ ihe nkiri n’anya. Ana m akwado ka ndị otu m si Naijiria lere ya	positive
Afọ 1980’s, mmepụta ọgwụ, ọmalịcha ụmụnwaanyị ojii…anọ m n’eluigwe	positive
Ọ dị ire ma juputa na egwu na ejije…Emetara ya nke ọma dịka o si metụta akụkọ mere eme. Mmepụta ya kpụtụrụ akpụ, ọ bụghị ihe m hụrụ n’anya, ọzọkwa ụfọdụ mmepụta ya dịka ihe mepụtara maka ihe nkiri Tivii (egwu na ejije na-adabachaghị) ….Na nchịkọta, ọ dị mma nlere ma ọ bụrụ na ịma ihe ị chọrọ	positive
Mmezi… Daalụ maka nke a. Nke a tọrọ m ụtọ. Mana m bụ Nelson Orah mere agwa Ahmed, ọ bụghị Umar. Ọ ga-amasị m ma ọ bụrụ na emezigharịrị ya.	positive
She is' Ọ dị egwu!. Ọ ga-amasị gị ilere ihe nkiri a. Ihe nkiri a tọrọ ezigbo ụtọ. Ezigbo ihe nkiri dị ụtọ. Nollywood na-atọ ụtọ	positive
Obi juputere m n’ọṅụ ka m lerechara ihe nkiri a, ihe niile dị na ya dabara. Ndị niile nyere aka n’imeputa ya kacha dọrọ mmasị m. Onye ntuziaka Kemi Adetiba mere nke ọma. Eji m ya eme ọnụ. Agwago m ọtụtụ ndị kirie ya. Ana m atụ anya ilerekwu ọrụ ya.	positive
Genevieve Nnaji tọro ezigbo ntọala n’ihe gbasara inye ntuziaka ihe nkiri. Ọ raghịpụghị na mmepụta ihe nkiri izizi ya LionHeart. Ọ bụ ihe kwesiri nkiri n’ihi na ọ na-agbasa ozi mmalite ihe nkiri Nollywood ga-agbasa mba ụwa.	positive
