pcm_review	sentiment
Steamy soap opera wey unfold against di backdrop of caution histori lesson wey remind us say for Naija, di more wey tins dey change, di more dem dey craze.	positive
Plenti work wit scrutini enta to make dis. Dis kain plenti tins, im quality stand out easy and brazen. Di sheer amount of as e dey authentic dey breathtaking.	positive
My Village People na film wey go make you loose your home train wen you dey watch am. But na pathfinder for sort. Nollywood general neva do beta job for makin di supernatural dey sexy and to dey appeal. My Village People achieve am wit no wahala, and e deserve big amount of hailing	positive
Di tori no be something wey we neva see before but dem tell am from Naija perspective, e dey funny, quirk and di dialogue dey great wen we compare am wit other dem wey dey available for Naija market.. . . . . I enjoy di film finish, i go surely recommend am (give my Naija folk dem!).	positive
1980's drug mules, beautiful black women ... I dey heaven	positive
E dey realise but slow pace wit very melodrama.... Beta actin,  base on true mata wit decent tori. Di pace dey wan kain slow for my own wit some scene be like made-for-tv film (di cheese music and di over dramatize).. . . . E dey watchable if you sabi wetin you wan enta before time.	positive
Correct.. . . . . Tanks for dis. I dey impress wit am. But me Nelson Orah play di character of Ahmed, no be Umar. I go appreciate am if Dem correct am.	positive
She dey' Supa Fantastic! You wan  see dis film. Dis film dey extraordinary enjoy. Pure Nollywood sweet.	positive
I dey thrill after I watch di film, everitin dey on point. I dey particular impress wit di quality of di cast wit crew. Di director, Kemi Adetiba do beta job and I dey proud of am. I don recommend am give many am give many pipo I dey look forward to watch more of im work.	positive
Genevieve Nnaji stamp im foot concrete for di pantheon of genius director. She no dey disappoint for her debut,  Lion Heart. Na must watch, as im announce di birth of international Nollywood.	positive
Nollywood for im peak!!!!. . . . Dis film tell tori about culture, unity wit family. So so theme wey I no fit finish mention.	positive
Beta wit wise film. Na  beta film, wey show di danger wey dey Naija tribalism wit how im fit affect young love.	positive
Dis film na beta offer for di genre.	positive
I like dis film. . . . I dey really surprise to read negative review for dis film. Shey we sabi wetin beta film be like trutru? Dis film beta, e dey very enjoy. Di character dem dey well develop, di toriline dey believe and relate. And di quality, fantastic. Well done guys I like am pass Wedding party 1 and 2. I no dey disappoint at all.	positive
I see di premierè for Houston Texas. . . . Dis film suppose win Oscar Award. Di toriline sef dey very gud. Di Actor dem dey incredible.	positive
Anyone wey love art, wey don see part one, go know di plot wit toriline don dey build there and dis na follow up.	positive
Beta outcome.	positive
