Batman vs Superman	batman vs superman
The director is Zack Snyder, 27% Rotten Tomatoes, 4.9/10.	Zack Snyder director hai, 27% Rotten Tomatoes, 4.9/10.
Not very popular it seems	lagta hai bahut popular nahi hai
But the audiences liked it. It has a B cinema  score 	but audience ne like kiya, iska cinema score B hai
Yes	yes
There is a huge divergence between proffession al critical opinion and regular movie goers	huge divergence  hai professioan critic ke opinion aur ruglar movie dekhne walo ke beech
I've never seen it	maine to kabhi nahi dekha hai.
I know the difference. 	mujhe difference pata hai
I can't believe they used Ben Affleck as Batman	Mujhe to believe hi nahi hota ki unhone Ben Affleck ko Bataman banaya.
So it probably won't get any awards, but should have done well enough at the box office	So Probably isko koi award nahi mila, but box office par isko badhiya karna tha
It was a strange choice	bahut strange choice thi ye.
Well it was made in 2016	haan tho yeh 2016 me aaya
I'm just guessing as to what it may have accomplished back then	mein guess kartha hoon ki agar yeh accomplished fir se huva tho
Probably nothing with those scores	probably aise kuch scores ab thak nahi aaya
The box office  gross is more important than critics acceptance for these blockbuster type movies	Box office mein tho iska itna important huva ki sabhi critics ko accept kiya aur blockbuster type ka movies banaya
I don't like how they made a whole new story line.	muje us new story line ko bilkul pasand nahi aaya
They ruined it for me	voh tho itna ruined ho gaya
although critics can affect word of mouth to an extent	critics toh itna bekar nikla
Batman as a billionaire	batman tho billionaire ho gaya
yeah right!	haan yar
Isn't that what he always was?	kya voh hamesa aise hi hein?
But they make it the main focus.	But weh ise main focus bnate hai.
Batman I know, was humble	Batman mujhe pta hai, humble tha
The lack of intellectual development for the main characters was my problem. Especially concerning Lex Luthor	Main characters ke liye intellectual development mere liye problem thi. Khaaskar Lex Luthor se sambhandit
Have you seen this movie?	Kya tumne yeh movie dekhi hai?
Yes I have	Han maine dekhi
What was your favorite part?	Tumhara favourite part kya hai?
Lex L uthor was the worse villain ever	Lex Luthor sabse bura villain tha
You think?	Tumne socha?
This wasn't a memorable movie. It got me through a bucket of popcorn at the moment I was watching, but you forget about it soon after	Wo ek yaadgaar movie nhi thi. Jab main isse dekh rha tha tab mujhe popcorn ki bucket lene ka khayal aaya, but tum jldi hi bhool jaoge baad mein
hahaha	hahaha
Did people know that they were super heroes? 	Kya logon ko pata tha that they were super heroes?
The best part was Wonder Woman action scenes  in the final act	Wonder Woman action scenes final act mein best part tha
I love Wonder Woman	mein Wonder Woman ko love karta hun
Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies	Wonder Woman uske liye sahi naam hai cause I always wonder why they took so long to get her into the movies
haha	haha
I agree!!!!	I agree!!!!
I love a good superhero movie! Iron Man is a good one.	mujhe good superhero movie achi lagti hai! Iron Man achi movie hai
hello	hello
have you seen the mmovie?	kya tumne move dekhi hai?
Hi!	Hi!
I saw it many years ago	maine kafi years pehle dekhi
Yes, same!	haan, same!
And just recently as well. I really do enjoy Robert Downey Jr as Iron Man.	Aur abhi recent mein. main Robert Downey Jr ko as Iron Man kafi enjoy karta hun.
